comment,cleaned_comment,case_folding,slang_check,tokenize,stopword_removal,stemming
Rm1 = rp3635,Rm  rp,satu ringgit malaysia setara dengan tiga ribu enam ratus tiga puluh lima rupiah,satu ringgit malaysia setara dengan tiga ribu enam ratus tiga puluh lima rupiah,"['satu', 'ringgit', 'malaysia', 'setara', 'dengan', 'tiga', 'ribu', 'enam', 'ratus', 'tiga', 'puluh', 'lima', 'rupiah']","['ringgit', 'malaysia', 'setara', 'ribu', 'enam', 'ratus', 'puluh', 'rupiah']",ringgit malaysia tara ribu enam ratus puluh rupiah
Sekelas Gubernur BI kok dia jawabnya sangat mengecewakan sekali ya serasa rakyat negeri tidak pintar menganalisis Dia bilang rupiah stabil jelas² rakyat teriak rupiah bergejolak dengan tingginya semua harga jual dan turunnya daya beli rakyat Dia juga suruh bandingin sama negara maju lah diliat dari sektor manapun tetap aja rupiah kita jeblok Mulyono sibuk miskinin rakyat sih segala dipajakin dan akhirnya kesulitan ekonomi muter² aja di rakyat Jangan lah berkilah lebih baik beresolusi Malu banget liat pemerintahan era Mulyono sedih liat nasib Ibu Pertiwi saat ini 😢,Sekelas Gubernur BI kok dia jawabnya sangat mengecewakan sekali ya serasa rakyat negeri tidak pintar menganalisis Dia bilang rupiah stabil jelas rakyat teriak rupiah bergejolak dengan tingginya semua harga jual dan turunnya daya beli rakyat Dia juga suruh bandingin sama negara maju lah diliat dari sektor manapun tetap aja rupiah kita jeblok Mulyono sibuk miskinin rakyat sih segala dipajakin dan akhirnya kesulitan ekonomi muter aja di rakyat Jangan lah berkilah lebih baik beresolusi Malu banget liat pemerintahan era Mulyono sedih liat nasib Ibu Pertiwi saat ini,sekelas gubernur bi kok dia jawabnya sangat mengecewakan sekali ya serasa rakyat negeri tidak pintar menganalisis dia bilang rupiah stabil jelas rakyat teriak rupiah bergejolak dengan tingginya semua harga jual dan turunnya daya beli rakyat dia juga suruh bandingin sama negara maju lah diliat dari sektor manapun tetap aja rupiah kita jeblok mulyono sibuk miskinin rakyat sih segala dipajakin dan akhirnya kesulitan ekonomi muter aja di rakyat jangan lah berkilah lebih baik beresolusi malu banget liat pemerintahan era mulyono sedih liat nasib ibu pertiwi saat ini,sekelas gubernur bank indonesia kok dia jawabnya sangat mengecewakan sekali ya serasa rakyat negeri tidak pintar menganalisis dia bilang rupiah stabil jelas rakyat teriak rupiah bergejolak dengan tingginya semua harga jual dan turunnya daya beli rakyat dia juga suruh bandingin sama negara maju lah diliat dari sektor manapun tetap aja rupiah kita jeblok mulyono sibuk miskinin rakyat sih segala dipajakin dan akhirnya kesulitan ekonomi muter aja di rakyat jangan lah berkilah lebih baik beresolusi malu banget liat pemerintahan era mulyono sedih liat nasib ibu pertiwi saat ini,"['sekelas', 'gubernur', 'bank', 'indonesia', 'kok', 'dia', 'jawabnya', 'sangat', 'mengecewakan', 'sekali', 'ya', 'serasa', 'rakyat', 'negeri', 'tidak', 'pintar', 'menganalisis', 'dia', 'bilang', 'rupiah', 'stabil', 'jelas', 'rakyat', 'teriak', 'rupiah', 'bergejolak', 'dengan', 'tingginya', 'semua', 'harga', 'jual', 'dan', 'turunnya', 'daya', 'beli', 'rakyat', 'dia', 'juga', 'suruh', 'bandingin', 'sama', 'negara', 'maju', 'lah', 'diliat', 'dari', 'sektor', 'manapun', 'tetap', 'aja', 'rupiah', 'kita', 'jeblok', 'mulyono', 'sibuk', 'miskinin', 'rakyat', 'sih', 'segala', 'dipajakin', 'dan', 'akhirnya', 'kesulitan', 'ekonomi', 'muter', 'aja', 'di', 'rakyat', 'jangan', 'lah', 'berkilah', 'lebih', 'baik', 'beresolusi', 'malu', 'banget', 'liat', 'pemerintahan', 'era', 'mulyono', 'sedih', 'liat', 'nasib', 'ibu', 'pertiwi', 'saat', 'ini']","['sekelas', 'gubernur', 'bank', 'indonesia', 'mengecewakan', 'pintar', 'menganalisis', 'rupiah', 'stabil', 'teriak', 'rupiah', 'bergejolak', 'tingginya', 'harga', 'turunnya', 'beli', 'bandingin', 'maju', 'sektor', 'manapun', 'rupiah', 'jeblok', 'miskinin', 'dipajakin', 'kesulitan', 'berkilah', 'beresolusi', 'malu', 'pemerintahan', 'era', 'sedih', 'nasib', 'pertiwi']",kelas gubernur bank indonesia kecewa pintar analis rupiah stabil teriak rupiah gejolak tinggi harga turun beli bandingin maju sektor mana rupiah jeblok miskinin dipajakin sulit kilah resolusi malu perintah era sedih nasib pertiwi
Jadi WNA asik kyaknya,Jadi WNA asik kyaknya,jadi wna asik kyaknya,jadi warga negara asing asik sepertinya,"['jadi', 'warga', 'negara', 'asing', 'asik', 'sepertinya']","['warga', 'asing', 'asik']",warga asing asik
besok 20000 pun ngomongnya masih stabil .trs dibanding bandingkan sama negara lain..lama lama gak ada harganya rupiah indonesia ini.,besok  pun ngomongnya masih stabil trs dibanding bandingkan sama negara lainlama lama gak ada harganya rupiah indonesia ini,besok pun ngomongnya masih stabil trs dibanding bandingkan sama negara lainlama lama gak ada harganya rupiah indonesia ini,besok pun ngomongnya masih stabil terus dibanding bandingkan sama negara lainlama lama tidak ada harganya rupiah indonesia ini,"['besok', 'pun', 'ngomongnya', 'masih', 'stabil', 'terus', 'dibanding', 'bandingkan', 'sama', 'negara', 'lainlama', 'lama', 'tidak', 'ada', 'harganya', 'rupiah', 'indonesia', 'ini']","['besok', 'ngomongnya', 'stabil', 'dibanding', 'lainlama', 'harganya', 'rupiah', 'indonesia']",besok ngomongnya stabil banding lainlama harga rupiah indonesia
dn jangan lupa perbanyak KORUPSI..trimakasih...😂😂😂😂,dn jangan lupa perbanyak KORUPSI trimakasih,dn jangan lupa perbanyak korupsi trimakasih,dan jangan lupa perbanyak korupsi terimakasih,"['dan', 'jangan', 'lupa', 'perbanyak', 'korupsi', 'terimakasih']","['lupa', 'perbanyak', 'korupsi']",lupa banyak korupsi
ss enak yoh pemerintah harga dolar tambah tinggi tingkatkan lagi pajak dn keluarkan macam2 pajak biar indonesia tambah miskin...😂😂😂😂😂 Hadeh...klo Orang jd otak Udang dn sangat kolot itu sulit Obatnya,ss enak yoh pemerintah harga dolar tambah tinggi  tingkatkan lagi pajak dn keluarkan macam pajak biar indonesia tambah miskin Hadeh klo Orang jd otak Udang dn sangat kolot itu sulit Obatnya,ss enak yoh pemerintah harga dolar tambah tinggi tingkatkan lagi pajak dn keluarkan macam pajak biar indonesia tambah miskin hadeh klo orang jd otak udang dn sangat kolot itu sulit obatnya,mereka enak ya pemerintah harga dolar tambah tinggi tingkatkan lagi pajak dan keluarkan macam pajak biar indonesia tambah miskin hadeh klo orang jadi otak udang dan sangat kolot itu sulit obatnya,"['mereka', 'enak', 'ya', 'pemerintah', 'harga', 'dolar', 'tambah', 'tinggi', 'tingkatkan', 'lagi', 'pajak', 'dan', 'keluarkan', 'macam', 'pajak', 'biar', 'indonesia', 'tambah', 'miskin', 'hadeh', 'klo', 'orang', 'jadi', 'otak', 'udang', 'dan', 'sangat', 'kolot', 'itu', 'sulit', 'obatnya']","['enak', 'harga', 'dolar', 'tingkatkan', 'pajak', 'keluarkan', 'pajak', 'indonesia', 'miskin', 'otak', 'udang', 'kolot', 'sulit', 'obatnya']",enak harga dolar tingkat pajak keluar pajak indonesia miskin otak udang kolot sulit obat
cselamat buat pemeritah jokowi😮😂😂,cselamat buat pemeritah jokowi,cselamat buat pemeritah jokowi,selamat buat pemeritah jokowi,"['selamat', 'buat', 'pemeritah', 'jokowi']","['selamat', 'pemeritah', 'jokowi']",selamat per jokowi
Pak jgn gampang aja ngomong stabil kami masyarakat kecil cukup berdampak,Pak  jgn gampang aja ngomong stabil kami masyarakat kecil cukup berdampak,pak jgn gampang aja ngomong stabil kami masyarakat kecil cukup berdampak,pakai jangan gampang aja ngomong stabil kami masyarakat kecil cukup berdampak,"['pakai', 'jangan', 'gampang', 'aja', 'ngomong', 'stabil', 'kami', 'masyarakat', 'kecil', 'cukup', 'berdampak']","['pakai', 'gampang', 'ngomong', 'stabil', 'berdampak']",pakai gampang ngomong stabil dampak
1:36 kocak sumpahh😢😢, kocak sumpahh,kocak sumpahh,kocak sumpahh,"['kocak', 'sumpahh']",['kocak'],kocak
Indonesia awalnya Negara Kaya krn kekayaan sumber alamnya terkait nilai USD knp jadi Negara gk jelas masak lbh bagus Riel Kamboja banyak faktor ttpi intinya Jkw yg tdk mampu selaku Kepala Negara,Indonesia awalnya Negara Kaya krn kekayaan sumber alamnya terkait nilai USD knp jadi Negara gk jelas masak lbh bagus Riel Kamboja banyak faktor ttpi intinya Jkw yg tdk mampu selaku Kepala Negara,indonesia awalnya negara kaya krn kekayaan sumber alamnya terkait nilai usd knp jadi negara gk jelas masak lbh bagus riel kamboja banyak faktor ttpi intinya jkw yg tdk mampu selaku kepala negara,indonesia awalnya negara kaya karena kekayaan sumber alamnya terkait nilai usd knp jadi negara tidak jelas masak lbh bagus riel kamboja banyak faktor ttpi intinya jkw yang tdk mampu selaku kepala negara,"['indonesia', 'awalnya', 'negara', 'kaya', 'karena', 'kekayaan', 'sumber', 'alamnya', 'terkait', 'nilai', 'usd', 'knp', 'jadi', 'negara', 'tidak', 'jelas', 'masak', 'lbh', 'bagus', 'riel', 'kamboja', 'banyak', 'faktor', 'ttpi', 'intinya', 'jkw', 'yang', 'tdk', 'mampu', 'selaku', 'kepala', 'negara']","['indonesia', 'kekayaan', 'sumber', 'alamnya', 'nilai', 'usd', 'knp', 'riel', 'kamboja', 'faktor', 'intinya', 'jkw']",indonesia kaya sumber alam nilai usd knp riel kamboja faktor inti jkw
